ebn0_db,decoder,net_success_gap_to_oracle,selected_snapshot_gap_to_oracle
10.0,final_llr_grand,0.0036249999999999893,6.474695707879564
10.0,final_llr_grand_capmatched,0.003374999999999906,6.474695707879564
10.0,guard_plus_best_syndrome,0.0019374999999999254,1.5182575272261367
10.0,ldpc_only,0.03293749999999995,-1.1016167921204358
10.0,memotta_grand,0.002062499999999967,1.5182575272261367
10.0,oracle_best_llr,0.0,0.0
10.0,selector_llr_grand,0.014812500000000006,0.25720691864189593
11.0,final_llr_grand,0.002562500000000023,6.329323308270677
11.0,final_llr_grand_capmatched,0.002187500000000009,6.329323308270677
11.0,guard_plus_best_syndrome,0.0015000000000000568,1.235087719298246
11.0,ldpc_only,0.019499999999999962,-2.298239191729323
11.0,memotta_grand,0.001687500000000064,1.2320802005012537
11.0,oracle_best_llr,0.0,0.0
11.0,selector_llr_grand,0.009312500000000057,0.1303258145363415
12.0,final_llr_grand,0.0010624999999999662,6.287011173184357
12.0,final_llr_grand_capmatched,0.0009374999999999245,6.287011173184357
12.0,guard_plus_best_syndrome,0.0006249999999999867,1.5237430167597763
12.0,ldpc_only,0.014062499999999978,-2.991926326815643
12.0,memotta_grand,0.000687499999999952,1.5237430167597763
12.0,oracle_best_llr,0.0,0.0
12.0,selector_llr_grand,0.00693749999999993,0.2430167597765358
13.0,final_llr_grand,0.001187500000000008,6.072906403940887
13.0,final_llr_grand_capmatched,0.0010624999999999662,6.072906403940887
13.0,guard_plus_best_syndrome,0.0007500000000000284,1.2541871921182262
13.0,ldpc_only,0.011937500000000045,-3.7017810960591135
13.0,memotta_grand,0.0007500000000000284,1.2541871921182262
13.0,oracle_best_llr,0.0,0.0
13.0,selector_llr_grand,0.006249999999999978,-0.20000000000000018
14.0,final_llr_grand,0.0007500000000000284,5.988173455978975
14.0,final_llr_grand_capmatched,0.0007500000000000284,5.988173455978975
14.0,guard_plus_best_syndrome,0.00031250000000004885,1.5361366622864656
14.0,ldpc_only,0.011499999999999955,-4.091076544021025
14.0,memotta_grand,0.000500000000000056,1.5361366622864656
14.0,oracle_best_llr,0.0,0.0
14.0,selector_llr_grand,0.0063750000000000195,-0.3193166885676737
